"nim","fak","prodi","thn_masuk","sex","kota_asal","jml_ajuan_cuti","jml_tunggakan","tgl_lahir","umur","usia","beasiswa","marital","jml_aktivitas_kemahasiswaan","jml_prestasi","ips1","ips2","ips3","ips4","ips5","ips6","ips7","ips8","ips9","ips10","ips11","ips12","ips13","ips14","ipk","tgl_yud","masuk","masa_studi_bulan","masa_studi_tahun","label"
27864,"A","A11",2012,1,2,2,2,"1993-12-05",27,3,2,2,2,2,0,2,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27859,"A","A11",2012,2,2,2,2,"1991-11-28",29,3,2,2,2,2,0,1,3,3,3,0,0,0,0,0,0,0,0,0,3,"2015-11-10","2012-08-30",38,3,2
27845,"A","A11",2012,1,2,2,2,"1993-06-07",28,3,2,2,2,2,2,3,2,2,2,2,3,2,0,2,3,0,0,0,3,"2018-08-09","2012-08-30",71,5,3
27839,"A","A11",2012,1,2,2,2,"1993-08-13",28,3,2,2,2,2,2,2,2,2,2,2,3,3,2,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27838,"A","A11",2012,1,2,2,2,"1994-10-01",27,3,2,2,2,2,2,2,3,2,3,2,2,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27837,"A","A11",2012,1,2,2,2,"1992-04-18",29,3,2,2,2,2,3,3,3,2,3,0,0,0,0,0,0,0,0,0,3,"2015-07-29","2012-08-30",34,2,1
27835,"A","A11",2012,1,2,2,2,"1994-06-12",27,3,2,2,2,2,2,2,2,2,0,2,1,2,2,0,0,0,0,0,2,"2019-11-12","2012-08-30",86,7,3
27832,"A","A11",2012,1,2,2,2,"1994-03-08",27,3,2,2,2,1,3,3,3,3,3,2,3,0,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27824,"A","A11",2012,1,2,2,2,"1993-04-22",28,3,2,2,2,2,2,2,2,3,2,1,1,3,0,0,0,0,1,3,3,"2019-08-09","2012-08-30",83,6,3
27821,"A","A11",2012,1,2,2,2,"1994-06-04",27,3,2,2,2,2,0,3,2,2,3,2,2,3,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27818,"A","A11",2012,1,2,2,2,"1993-12-18",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-11-09","2012-08-30",50,4,3
27813,"A","A11",2012,1,2,2,2,"1994-07-30",27,3,2,2,2,2,0,3,2,2,3,2,3,0,0,0,0,0,0,2,2,"2019-08-09","2012-08-30",83,6,3
27808,"A","A11",2012,1,1,2,2,"1994-06-05",27,3,2,2,2,2,3,3,2,3,2,2,3,3,0,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27807,"A","A11",2012,1,2,2,2,"1993-12-17",27,3,2,2,2,2,3,2,0,2,2,2,2,0,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27803,"A","A11",2012,1,2,2,2,"1994-10-30",26,3,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,2,"2017-03-30","2012-08-30",55,4,3
27799,"A","A11",2012,2,1,2,2,"1994-03-26",27,3,2,2,2,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27791,"A","A11",2012,1,2,2,2,"1994-02-18",27,3,2,2,2,2,2,2,2,2,2,2,3,3,0,0,0,0,0,0,2,"2016-11-09","2012-08-30",50,4,3
27778,"A","A11",2012,1,2,2,2,"1994-03-29",27,3,2,2,2,2,2,2,1,2,2,2,2,0,2,0,0,0,0,3,2,"2019-11-12","2012-08-30",86,7,3
27774,"A","A11",2012,1,2,2,2,"1994-10-03",27,3,2,2,2,2,0,2,2,2,2,2,0,2,3,0,0,0,0,0,0,"2017-03-30","2012-08-30",55,4,3
27771,"A","A11",2012,2,2,2,2,"1995-06-25",26,3,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
27770,"A","A11",2012,1,2,2,2,"1994-04-01",27,3,2,2,2,2,2,2,2,2,2,3,2,1,3,0,0,3,3,0,3,"2018-11-13","2012-08-30",74,6,3
27765,"A","A11",2012,1,2,1,2,"1991-03-31",30,3,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,1,3,3,"2019-08-09","2012-08-30",83,6,3
27753,"A","A11",2012,1,1,2,2,"1988-02-01",33,3,2,2,2,2,0,2,3,3,3,3,3,0,3,0,0,0,0,0,3,"2018-03-23","2012-08-30",66,5,3
27752,"A","A11",2012,1,2,2,2,"1994-04-07",27,3,2,2,2,2,2,0,0,2,1,2,2,3,3,0,3,0,0,0,2,"2018-03-29","2012-08-30",66,5,3
27751,"A","A11",2012,1,2,2,2,"1993-03-04",28,3,2,2,2,2,0,2,2,2,3,3,3,3,3,0,0,0,0,0,3,"2017-03-30","2012-08-30",55,4,3
27748,"A","A11",2012,1,2,2,2,"1994-08-23",27,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,0,0,0,0,2,"2017-11-10","2012-08-30",62,5,3
27739,"A","A11",2012,2,2,2,2,"1993-12-20",27,3,2,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27738,"A","A11",2012,1,2,2,2,"1994-05-11",27,3,2,2,2,2,0,2,3,3,0,3,3,0,0,0,0,0,0,0,3,"2017-08-08","2012-08-30",59,4,3
27731,"A","A11",2012,1,1,2,2,"1994-02-19",27,3,2,2,2,2,3,3,2,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27722,"A","A11",2012,1,2,2,2,"1994-03-26",27,3,2,2,2,2,3,3,2,3,3,2,3,1,0,0,3,3,3,0,3,"2018-11-13","2012-08-30",74,6,3
27719,"A","A11",2012,2,2,2,2,"1994-08-15",27,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-08-08","2012-08-30",47,3,2
27705,"A","A11",2012,1,2,2,2,"1994-08-02",27,3,2,2,2,2,3,1,0,0,2,0,0,2,2,3,3,2,1,1,3,"2019-11-12","2012-08-30",86,7,3
27704,"A","A11",2012,1,2,2,2,"1993-05-17",28,3,2,1,2,2,0,1,1,1,2,2,2,2,2,3,0,0,0,0,2,"2017-11-10","2012-08-30",62,5,3
27701,"A","A11",2012,2,2,2,2,"1991-03-26",30,3,2,2,1,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,3,"2014-11-03","2012-08-30",26,2,1
27700,"A","A11",2012,1,2,2,2,"1993-12-06",27,3,2,2,2,2,3,3,0,3,0,3,3,0,0,0,0,0,0,3,3,"2019-08-09","2012-08-30",83,6,3
27697,"A","A11",2012,2,2,2,2,"1995-04-15",26,3,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,"2016-07-29","2012-08-30",46,3,2
